start,year,month,day,hour,rueckgaben_predict,rueckgaben_real,ausleihen_real,ausleihen_predicted,real_differenz,predicted_differenz,differenz_mape
2019-06-06 08:00:00,2019,6,6,8,53.2399,81,31,21.212662,-50,-32.027238,35.945524000000006
2019-06-06 09:00:00,2019,6,6,9,34.994583,39,24,18.483885,-15,-16.510697999999998,10.071319999999986
2019-06-06 12:00:00,2019,6,6,12,13.354669,13,13,9.838944,0,-3.5157249999999998,0.0
2019-06-06 13:00:00,2019,6,6,13,13.566849,15,14,11.180107,-1,-2.386742,138.67419999999998
2019-06-06 14:00:00,2019,6,6,14,17.603477,10,20,20.701857,10,3.098379999999999,69.01620000000001
2019-06-06 15:00:00,2019,6,6,15,16.286343,24,17,18.252909,-7,1.9665660000000003,128.09380000000002
2019-06-06 20:00:00,2019,6,6,20,18.61804,18,29,22.328302,11,3.710262,66.27034545454545
2019-06-07 06:00:00,2019,6,7,6,15.969695,14,11,8.793435,-3,-7.176259999999999,139.20866666666666
2019-06-07 07:00:00,2019,6,7,7,42.18906,48,16,20.834635,-32,-21.354425,33.267421875000004
2019-06-07 08:00:00,2019,6,7,8,72.14799,75,36,30.537436,-39,-41.61055399999999,6.693728205128188
2019-06-07 09:00:00,2019,6,7,9,38.699768,32,23,21.535421,-9,-17.164347,90.71496666666667
2019-06-07 11:00:00,2019,6,7,11,15.61486,18,13,12.433816,-5,-3.181044,36.37912
2019-06-07 14:00:00,2019,6,7,14,29.013615,38,37,23.236483,-1,-5.777132000000002,477.71320000000014
2019-06-07 15:00:00,2019,6,7,15,37.019623,44,25,35.975224,-19,-1.0443990000000056,94.5031631578947
2019-06-07 18:00:00,2019,6,7,18,53.11701,50,57,69.14636,7,16.02935,128.9907142857143
2019-06-07 19:00:00,2019,6,7,19,37.535347,38,38,41.907124,0,4.371777000000002,0.0
2019-06-07 20:00:00,2019,6,7,20,23.999872,27,23,27.648825,-4,3.648952999999999,191.22382499999998
2019-06-08 00:00:00,2019,6,8,0,3.4207382,3,4,4.5419188,1,1.1211806000000002,12.11806000000002
2019-06-08 07:00:00,2019,6,8,7,5.603973,6,4,5.3322096,-2,-0.2717634000000002,86.41183
2019-06-08 08:00:00,2019,6,8,8,12.906938,16,14,9.942131,-2,-2.9648070000000004,48.24035000000002
2019-06-08 11:00:00,2019,6,8,11,42.893787,55,28,38.118237,-27,-4.775550000000003,82.31277777777777
2019-06-08 12:00:00,2019,6,8,12,44.02744,66,53,43.228783,-13,-0.7986569999999986,93.85648461538463
2019-06-08 15:00:00,2019,6,8,15,46.87071,56,41,45.94889,-15,-0.9218200000000039,93.85453333333331
2019-06-08 16:00:00,2019,6,8,16,47.18138,54,56,54.622826,2,7.441446000000006,272.0723000000003
2019-06-08 19:00:00,2019,6,8,19,21.367043,25,19,25.933792,-6,4.5667490000000015,176.11248333333336
2019-06-08 20:00:00,2019,6,8,20,14.194435,16,25,16.233223,9,2.0387879999999985,77.34680000000002
2019-06-08 22:00:00,2019,6,8,22,6.2512236,3,5,9.260723,2,3.0094994,50.474970000000006
2019-06-09 09:00:00,2019,6,9,9,9.846901,15,11,11.567215,-4,1.7203139999999983,143.00784999999996
2019-06-09 10:00:00,2019,6,9,10,25.112598,36,33,22.283434,-3,-2.8291639999999987,5.694533333333377
2019-06-09 11:00:00,2019,6,9,11,38.904118,44,35,31.339222,-9,-7.564895999999997,15.945600000000029
2019-06-09 13:00:00,2019,6,9,13,47.65414,44,54,43.471016,10,-4.183123999999999,141.83124
2019-06-09 14:00:00,2019,6,9,14,41.815777,41,40,37.33999,-1,-4.475786999999997,347.5786999999997
2019-06-09 15:00:00,2019,6,9,15,44.383587,53,39,48.43641,-14,4.052823000000004,128.94873571428573
2019-06-09 16:00:00,2019,6,9,16,54.015415,68,68,50.520298,0,-3.4951170000000005,0.0
2019-06-09 19:00:00,2019,6,9,19,26.094622,37,31,26.019077,-6,-0.07554500000000175,98.74091666666664
2019-06-10 07:00:00,2019,6,10,7,36.751163,34,13,16.82715,-21,-19.924013,5.123747619047625
2019-06-10 09:00:00,2019,6,10,9,25.504753,18,19,19.329397,1,-6.175356000000001,717.5356
2019-06-11 06:00:00,2019,6,11,6,15.776168,10,6,7.216353,-4,-8.559815,113.99537500000001
2019-06-11 07:00:00,2019,6,11,7,44.764942,34,16,19.401266,-18,-25.363675999999998,40.9093111111111
2019-06-11 08:00:00,2019,6,11,8,80.75077,61,27,30.620989,-34,-50.129781,47.440532352941176
2019-06-11 09:00:00,2019,6,11,9,37.924965,21,30,20.893568,9,-17.031397000000002,289.23774444444444
2019-06-11 10:00:00,2019,6,11,10,15.8081455,18,10,12.024361,-8,-3.7837844999999994,52.70269375000001
