year,month,day,hour,count,subrate,holidays,workday,weekday
2019,5,7,11,8,0.5,0,1,1
2019,5,7,12,11,0.9090909090909092,0,1,1
2019,5,7,13,9,0.4444444444444444,0,1,1
2019,5,7,14,23,0.782608695652174,0,1,1
2019,5,7,15,26,0.8076923076923077,0,1,1
2019,5,7,16,35,0.7714285714285715,0,1,1
2019,5,7,17,67,0.835820895522388,0,1,1
2019,5,7,18,74,0.9594594594594594,0,1,1
2019,5,7,19,34,0.8235294117647058,0,1,1
2019,5,7,20,6,1.0,0,1,1
2019,5,7,21,4,1.0,0,1,1
2019,5,7,22,2,1.0,0,1,1
2019,5,7,23,2,1.0,0,1,1
2019,5,8,0,3,1.0,0,1,2
2019,5,8,4,1,1.0,0,1,2
2019,5,8,5,6,0.8333333333333334,0,1,2
2019,5,8,6,13,1.0,0,1,2
