start,year,month,day,hour,ausleihen_real,ausleihen_predict,rueckgaben_real,rueckgaben_predicted,real_differenz,predicted_differenz,differenz_mape
2019-05-28 19:00:00,2019,5,28,19,29.0,40.658768,25.0,31.936447,4.0,8.722321,118.05802500000001
2019-05-28 20:00:00,2019,5,28,20,16.0,17.053413,14.0,17.390953,2.0,-0.3375400000000006,116.87700000000004
2019-05-28 21:00:00,2019,5,28,21,6.0,10.175191,4.0,8.551311,2.0,1.6238799999999998,18.80600000000001
2019-05-28 23:00:00,2019,5,28,23,1.0,1.4086902,2.0,4.404971,-1.0,-2.9962808,199.62808
2019-05-29 05:00:00,2019,5,29,5,3.0,2.5074334,8.0,6.5347486,-5.0,-4.0273152,19.453695999999994
2019-05-29 06:00:00,2019,5,29,6,6.0,7.407965,15.0,18.865303,-9.0,-11.457338,27.303755555555554
2019-05-29 07:00:00,2019,5,29,7,18.0,25.021358,58.0,47.48087,-40.0,-22.459512000000004,43.85121999999999
2019-05-29 08:00:00,2019,5,29,8,29.0,27.568632,68.0,69.25863,-39.0,-41.689997999999996,6.897430769230758
2019-05-29 09:00:00,2019,5,29,9,17.0,23.063269,32.0,42.227314,-15.0,-19.164045,27.76030000000001
2019-05-29 10:00:00,2019,5,29,10,8.0,14.949717,15.0,18.621052,-7.0,-3.671334999999999,47.552357142857154
2019-05-29 11:00:00,2019,5,29,11,14.0,17.123875,7.0,15.160026,7.0,1.9638490000000015,71.94501428571427
2019-05-29 12:00:00,2019,5,29,12,14.0,14.197767,12.0,17.598837,2.0,-3.401069999999999,270.05349999999993
2019-05-29 13:00:00,2019,5,29,13,8.0,15.608459,14.0,14.568878,-6.0,1.039581,117.32635
2019-05-29 14:00:00,2019,5,29,14,9.0,12.028395,12.0,14.2304,-3.0,-2.2020049999999998,26.59983333333334
2019-05-29 15:00:00,2019,5,29,15,15.0,25.086662,15.0,21.557428,0.0,3.529233999999999,0.0
2019-05-29 16:00:00,2019,5,29,16,21.0,26.354952,27.0,33.95433,-6.0,-7.599377999999998,26.656299999999966
2019-05-29 17:00:00,2019,5,29,17,71.0,67.12808,53.0,56.9797,18.0,10.148379999999996,43.62011111111113
2019-05-29 18:00:00,2019,5,29,18,93.0,82.00992,62.0,56.48783,31.0,25.52208999999999,17.670677419354867
2019-05-29 19:00:00,2019,5,29,19,64.0,53.626686,43.0,38.397102,21.0,15.229584000000003,27.478171428571418
2019-05-29 20:00:00,2019,5,29,20,35.0,29.462626,28.0,23.085787,7.0,6.376839,8.902299999999995
2019-05-29 21:00:00,2019,5,29,21,9.0,11.396109,6.0,5.984197,3.0,5.411911999999999,80.39706666666663
2019-05-29 22:00:00,2019,5,29,22,9.0,9.700594,9.0,8.671704,0.0,1.0288900000000005,0.0
2019-05-29 23:00:00,2019,5,29,23,5.0,3.3762555,6.0,5.2729454,-1.0,-1.8966899000000002,89.66899000000001
2019-05-30 00:00:00,2019,5,30,0,1.0,2.6993093,5.0,4.4104867,-4.0,-1.7111774,57.220565
2019-05-30 05:00:00,2019,5,30,5,3.0,2.6768322,8.0,7.955934,-5.0,-5.279101799999999,5.582035999999988
2019-05-30 06:00:00,2019,5,30,6,8.0,9.182088,14.0,13.728606,-6.0,-4.546517999999999,24.22470000000002
2019-05-30 07:00:00,2019,5,30,7,13.0,14.089345,44.0,35.294857,-31.0,-21.205512,31.595122580645164
2019-05-30 08:00:00,2019,5,30,8,26.0,26.08637,76.0,48.7816,-50.0,-22.69523,54.60954
2019-05-30 09:00:00,2019,5,30,9,17.0,20.8175,36.0,36.54783,-19.0,-15.730329999999999,17.20878947368422
2019-05-30 10:00:00,2019,5,30,10,12.0,13.065577,21.0,15.726224,-9.0,-2.660647000000001,70.43725555555554
2019-05-30 11:00:00,2019,5,30,11,6.0,11.599281,9.0,15.933066,-3.0,-4.333785000000001,44.45950000000003
2019-05-30 12:00:00,2019,5,30,12,12.0,11.530747,13.0,15.878453,-1.0,-4.3477060000000005,334.77060000000006
2019-05-30 13:00:00,2019,5,30,13,13.0,13.0426445,16.0,16.239977,-3.0,-3.1973325,6.577749999999997
2019-05-30 14:00:00,2019,5,30,14,23.0,21.800484,19.0,19.65823,4.0,2.142254000000001,46.44364999999997
2019-05-30 15:00:00,2019,5,30,15,16.0,22.445566,18.0,20.876585,-2.0,1.5689810000000008,178.44905000000006
2019-05-30 16:00:00,2019,5,30,16,24.0,22.835356,12.0,23.316273,12.0,-0.48091699999999804,104.00764166666664
2019-05-30 17:00:00,2019,5,30,17,51.0,53.50279,24.0,42.980633,27.0,10.522157,61.02904814814815
2019-05-30 18:00:00,2019,5,30,18,67.0,57.330017,39.0,39.982758,28.0,17.347259,38.04550357142857
2019-05-30 19:00:00,2019,5,30,19,29.0,33.50777,33.0,25.467146,-4.0,8.040624000000001,301.0156
2019-05-30 20:00:00,2019,5,30,20,25.0,15.212014,16.0,14.485316,9.0,0.7266980000000007,91.92557777777776
2019-05-30 21:00:00,2019,5,30,21,12.0,8.524876,7.0,7.664886,5.0,0.8599900000000007,82.80019999999999
2019-05-30 22:00:00,2019,5,30,22,2.0,3.5834641,10.0,7.809782,-8.0,-4.2263179,47.171026250000004
2019-05-31 06:00:00,2019,5,31,6,8.0,9.02621,15.0,16.165968,-7.0,-7.139757999999999,1.9965428571428387
2019-05-31 07:00:00,2019,5,31,7,21.0,20.36197,57.0,39.355133,-36.0,-18.993163000000003,47.241213888888886
2019-05-31 08:00:00,2019,5,31,8,35.0,29.887869,95.0,63.316383,-60.0,-33.42851400000001,44.285809999999984
2019-05-31 09:00:00,2019,5,31,9,20.0,26.103918,43.0,43.987446,-23.0,-17.883528,22.245530434782616
2019-05-31 10:00:00,2019,5,31,10,19.0,14.051924,38.0,19.798925,-19.0,-5.747001000000001,69.75262631578947
2019-05-31 11:00:00,2019,5,31,11,18.0,16.58777,20.0,22.245893,-2.0,-5.658123,182.90615
2019-05-31 12:00:00,2019,5,31,12,29.0,16.614763,28.0,16.42832,1.0,0.18644300000000058,81.35569999999994
2019-05-31 13:00:00,2019,5,31,13,23.0,17.85121,23.0,18.471079,0.0,-0.6198690000000013,0.0
2019-05-31 14:00:00,2019,5,31,14,29.0,23.069075,31.0,30.127115,-2.0,-7.058039999999998,252.90199999999993
2019-05-31 15:00:00,2019,5,31,15,34.0,34.67115,37.0,33.926342,-3.0,0.744807999999999,124.8269333333333
2019-05-31 16:00:00,2019,5,31,16,39.0,46.536873,43.0,40.856133,-4.0,5.68074,242.01850000000002
2019-05-31 17:00:00,2019,5,31,17,100.0,64.061676,57.0,53.182766,43.0,10.878910000000005,74.70020930232558
2019-05-31 18:00:00,2019,5,31,18,91.0,66.23262,68.0,50.31396,23.0,15.918659999999996,30.788434782608714
2019-05-31 19:00:00,2019,5,31,19,48.0,49.95517,37.0,45.934723,11.0,4.020447000000004,63.45048181818178
2019-05-31 20:00:00,2019,5,31,20,30.0,29.63754,32.0,25.31742,-2.0,4.320120000000003,316.00600000000014
2019-05-31 21:00:00,2019,5,31,21,19.0,21.461466,17.0,17.770071,2.0,3.691395,84.56975
2019-05-31 22:00:00,2019,5,31,22,11.0,8.526678,10.0,9.745856,1.0,-1.2191779999999994,221.91779999999994
2019-05-31 23:00:00,2019,5,31,23,6.0,5.888749,7.0,6.3147926,-1.0,-0.42604359999999986,57.395640000000014
2019-06-01 07:00:00,2019,6,1,7,6.0,5.466065,9.0,5.5252395,-3.0,-0.05917449999999924,98.02751666666668
2019-06-01 08:00:00,2019,6,1,8,13.0,10.614657,15.0,15.144252,-2.0,-4.5295950000000005,126.47975000000002
2019-06-01 09:00:00,2019,6,1,9,16.0,16.26975,19.0,19.227652,-3.0,-2.9579020000000007,1.4032666666666436
2019-06-01 10:00:00,2019,6,1,10,22.0,22.511055,22.0,34.18002,0.0,-11.668965,0.0
2019-06-01 11:00:00,2019,6,1,11,26.0,40.572636,29.0,48.98368,-3.0,-8.411043999999997,180.36813333333325
2019-06-01 12:00:00,2019,6,1,12,50.0,35.979843,47.0,37.445766,3.0,-1.4659229999999965,148.86409999999987
2019-06-01 13:00:00,2019,6,1,13,37.0,44.236366,39.0,52.150074,-2.0,-7.913708,295.68539999999996
2019-06-01 14:00:00,2019,6,1,14,37.0,55.50403,38.0,49.791477,-1.0,5.712553,671.2553
2019-06-01 15:00:00,2019,6,1,15,26.0,47.277473,41.0,47.279186,-15.0,-0.001713000000002296,99.98857999999998
2019-06-01 16:00:00,2019,6,1,16,58.0,59.669224,35.0,59.15386,23.0,0.5153639999999982,97.75928695652175
2019-06-01 17:00:00,2019,6,1,17,36.0,56.062,50.0,48.26292,-14.0,7.7990799999999965,155.70771428571425
2019-06-01 18:00:00,2019,6,1,18,55.0,43.80485,44.0,40.432674,11.0,3.372176000000003,69.34385454545452
2019-06-01 19:00:00,2019,6,1,19,21.0,33.424995,27.0,29.280706,-6.0,4.144289000000004,169.0714833333334
2019-06-01 20:00:00,2019,6,1,20,20.0,15.756864,10.0,17.137533,10.0,-1.380669000000001,113.80669
2019-06-01 21:00:00,2019,6,1,21,12.0,9.026953,13.0,8.338882,-1.0,0.6880710000000008,168.80710000000008
2019-06-01 22:00:00,2019,6,1,22,9.0,8.626629,8.0,7.587547,1.0,1.0390819999999996,3.9081999999999617
2019-06-01 23:00:00,2019,6,1,23,6.0,4.2840724,8.0,4.767067,-2.0,-0.4829945999999996,75.85027000000002
2019-06-02 00:00:00,2019,6,2,0,4.0,3.7532485,3.0,4.438231,1.0,-0.6849824999999998,168.49824999999998
2019-06-02 08:00:00,2019,6,2,8,9.0,7.57444,7.0,10.2624655,2.0,-2.6880254999999993,234.40127499999997
2019-06-02 09:00:00,2019,6,2,9,10.0,9.597223,12.0,10.128343,-2.0,-0.5311199999999996,73.44400000000002
2019-06-02 10:00:00,2019,6,2,10,29.0,17.947638,35.0,19.766035,-6.0,-1.8183969999999974,69.69338333333339
