year,month,day,hour,count,subrate
2019,8,17,17,44,0.22727272727272727
2019,8,17,18,37,0.5945945945945946
2019,8,17,19,25,0.4
2019,8,17,20,17,0.47058823529411764
2019,8,17,21,15,0.4666666666666667
2019,8,17,22,14,0.8571428571428571
2019,8,17,23,9,0.7777777777777778
2019,8,18,0,3,1.0
2019,8,18,1,2,0.5
2019,8,18,6,1,1.0
2019,8,18,7,6,0.6666666666666666
2019,8,18,8,19,0.631578947368421
2019,8,18,9,7,0.8571428571428571
2019,8,18,10,40,0.55
2019,8,18,11,19,0.5263157894736842
2019,8,18,12,34,0.5
2019,8,18,13,14,0.6428571428571429
2019,8,18,14,25,0.6
2019,8,18,15,28,0.5
2019,8,18,16,27,0.37037037037037035
2019,8,18,17,12,0.5
2019,8,18,18,10,0.5
2019,8,18,19,15,0.6
2019,8,18,20,10,0.7
2019,8,18,21,5,0.8
2019,8,18,22,3,0.6666666666666666
2019,8,18,23,7,0.42857142857142855
2019,8,19,0,7,0.2857142857142857
2019,8,19,2,1,1.0
2019,8,19,5,3,1.0
2019,8,19,6,25,0.96
2019,8,19,7,49,0.9591836734693877
2019,8,19,8,80,0.925
2019,8,19,9,32,0.90625
2019,8,19,10,18,0.5
2019,8,19,11,8,1.0
2019,8,19,12,10,0.6
2019,8,19,13,16,0.625
2019,8,19,14,15,0.6
2019,8,19,15,12,0.75
2019,8,19,16,25,0.56
2019,8,19,17,39,0.8461538461538461
2019,8,19,18,46,0.8260869565217391
2019,8,19,19,49,0.7551020408163265
2019,8,19,20,15,0.6666666666666666
2019,8,19,21,12,0.75
2019,8,19,22,4,0.5
2019,8,19,23,1,1.0
2019,8,20,0,9,0.2222222222222222
2019,8,20,2,1,1.0
2019,8,20,4,1,0.0
2019,8,20,5,7,0.8571428571428571
2019,8,20,6,19,0.9473684210526315
2019,8,20,7,52,0.9230769230769231
2019,8,20,8,66,0.9393939393939394
2019,8,20,9,33,0.9696969696969697
2019,8,20,10,14,0.6428571428571429
2019,8,20,11,11,0.7272727272727273
2019,8,20,12,10,0.6
2019,8,20,13,23,0.5652173913043478
2019,8,20,14,18,0.5555555555555556
2019,8,20,15,19,0.7368421052631579
2019,8,20,16,32,0.71875
2019,8,20,17,67,0.8208955223880597
2019,8,20,18,56,0.7321428571428571
2019,8,20,19,33,0.7272727272727273
2019,8,20,20,33,0.696969696969697
2019,8,20,21,16,0.5625
2019,8,20,22,5,0.6
2019,8,20,23,1,1.0
2019,8,21,0,4,0.25
2019,8,21,5,8,1.0
2019,8,21,6,23,0.782608695652174
2019,8,21,7,43,0.9534883720930233
2019,8,21,8,68,0.8676470588235294
2019,8,21,9,38,0.8947368421052632
2019,8,21,10,23,0.5217391304347826
2019,8,21,11,15,0.4666666666666667
2019,8,21,12,6,0.8333333333333334
2019,8,21,13,12,0.9166666666666666
2019,8,21,14,8,0.875
2019,8,21,15,14,0.6428571428571429
2019,8,21,16,13,0.6153846153846154
2019,8,21,17,21,0.8095238095238095
2019,8,21,18,35,0.8857142857142857
2019,8,21,19,33,0.8484848484848485
2019,8,21,20,14,0.9285714285714286
2019,8,21,21,15,0.4666666666666667
2019,8,21,22,10,0.2
2019,8,21,23,4,0.75
2019,8,22,0,3,1.0
2019,8,22,5,5,1.0
2019,8,22,6,17,0.9411764705882353
2019,8,22,7,38,1.0
2019,8,22,8,61,0.9344262295081968
2019,8,22,9,38,0.868421052631579
2019,8,22,10,10,0.5
2019,8,22,11,13,0.5384615384615384
2019,8,22,12,11,0.9090909090909091
2019,8,22,13,29,0.41379310344827586
2019,8,22,14,9,1.0
2019,8,22,15,19,0.5789473684210527
2019,8,22,16,39,0.7948717948717948
2019,8,22,17,36,0.7222222222222222
2019,8,22,18,53,0.7547169811320755
2019,8,22,19,31,0.7741935483870968
2019,8,22,20,12,0.75
2019,8,22,21,7,0.7142857142857143
2019,8,22,23,4,1.0
2019,8,23,5,3,0.6666666666666666
2019,8,23,6,9,1.0
2019,8,23,7,20,0.9
2019,8,23,8,9,0.7777777777777778
2019,8,23,9,5,1.0
2019,8,23,10,7,1.0
2019,8,23,11,11,0.8181818181818182
2019,8,23,12,15,0.5333333333333333
2019,8,23,13,17,0.6470588235294118
2019,8,23,14,30,0.4666666666666667
2019,8,23,15,24,0.4583333333333333
2019,8,23,16,14,0.5714285714285714
2019,8,23,17,45,0.7111111111111111
2019,8,23,18,32,0.96875
2019,8,23,19,36,0.5833333333333334
2019,8,23,20,15,0.4
2019,8,23,21,10,0.8
2019,8,23,22,3,0.3333333333333333
2019,8,23,23,10,0.7
2019,8,24,0,1,1.0
2019,8,24,1,6,0.3333333333333333
2019,8,24,2,1,1.0
2019,8,24,7,5,0.4
2019,8,24,8,17,0.5882352941176471
2019,8,24,9,28,0.7142857142857143
2019,8,24,10,36,0.5277777777777778
2019,8,24,11,40,0.45
2019,8,24,12,44,0.38636363636363635
2019,8,24,13,40,0.675
2019,8,24,14,49,0.4489795918367347
2019,8,24,15,39,0.4358974358974359
2019,8,24,16,53,0.41509433962264153
2019,8,24,17,41,0.4634146341463415
2019,8,24,18,53,0.39622641509433965
2019,8,24,19,48,0.5
2019,8,24,20,22,0.45454545454545453
2019,8,24,21,12,0.25
2019,8,24,22,6,0.6666666666666666
2019,8,24,23,4,0.5
2019,8,25,0,2,0.5
2019,8,25,1,1,0.0
