year,month,day,hour,ausleihen,subrate,holidays,weekday,workday
2015,1,28,7,2,1.0,0,2,1
2015,1,28,9,1,1.0,0,2,1
2015,1,28,11,3,0.6666666666666666,0,2,1
2015,1,28,12,1,1.0,0,2,1
2015,1,28,13,1,1.0,0,2,1
2015,1,28,14,3,1.0,0,2,1
2015,1,28,15,1,1.0,0,2,1
2015,1,28,16,2,1.0,0,2,1
2015,1,28,17,3,1.0,0,2,1
2015,1,28,18,1,1.0,0,2,1
2015,1,28,19,3,1.0,0,2,1
2015,1,28,20,3,1.0,0,2,1
2015,1,28,21,1,1.0,0,2,1
2015,1,28,23,1,1.0,0,2,1
2015,1,29,6,2,1.0,0,3,1
2015,1,29,7,1,1.0,0,3,1
2015,1,29,8,7,1.0,0,3,1
2015,1,29,9,2,1.0,0,3,1
2015,1,29,10,2,1.0,0,3,1
2015,1,29,11,1,1.0,0,3,1
2015,1,29,12,1,1.0,0,3,1
2015,1,29,13,2,1.0,0,3,1
2015,1,29,14,1,1.0,0,3,1
2015,1,29,15,1,1.0,0,3,1
2015,1,29,16,4,1.0,0,3,1
2015,1,29,17,3,1.0,0,3,1
2015,1,29,18,1,1.0,0,3,1
2015,1,29,19,2,1.0,0,3,1
2015,1,29,21,1,1.0,0,3,1
2015,1,29,22,1,1.0,0,3,1
2015,1,30,0,1,1.0,0,4,1
2015,1,30,1,1,1.0,0,4,1
2015,1,30,5,1,1.0,0,4,1
2015,1,30,6,1,1.0,0,4,1
2015,1,30,7,3,1.0,0,4,1
2015,1,30,8,5,1.0,0,4,1
2015,1,30,9,2,1.0,0,4,1
2015,1,30,10,1,1.0,0,4,1
2015,1,30,11,2,1.0,0,4,1
2015,1,30,12,1,1.0,0,4,1
2015,1,30,13,2,1.0,0,4,1
2015,1,30,14,2,1.0,0,4,1
2015,1,30,15,2,1.0,0,4,1
2015,1,30,16,1,1.0,0,4,1
2015,1,30,17,1,1.0,0,4,1
2015,1,31,9,1,1.0,0,5,0
2015,1,31,10,1,1.0,0,5,0
2015,1,31,11,2,1.0,0,5,0
2015,1,31,12,1,1.0,0,5,0
2015,1,31,13,3,1.0,0,5,0
2015,1,31,14,1,1.0,0,5,0
2015,1,31,15,4,1.0,0,5,0
2015,1,31,16,2,1.0,0,5,0
2015,1,31,18,3,1.0,0,5,0
2015,1,31,19,1,1.0,0,5,0
2015,1,31,20,2,1.0,0,5,0
2015,1,31,22,1,1.0,0,5,0
2015,2,1,10,3,1.0,0,6,0
2015,2,1,12,1,1.0,0,6,0
2015,2,1,13,1,1.0,0,6,0
2015,2,1,14,3,1.0,0,6,0
2015,2,1,15,5,0.6,0,6,0
2015,2,1,16,4,1.0,0,6,0
2015,2,1,17,4,1.0,0,6,0
2015,2,1,18,4,1.0,0,6,0
