year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihe1woche,ausleihe1stunde,ausleihe2stunde,ausleihe2woche,ausleihe3woche,abweichung,abweichungdurchschnitt
2015,6,6,16,43,0.6511627906976745,0,5,0,21,0.0,49,16,Sunny,2015-06-06 16:00:00,45,47,44,38,24,13.157894736842104,20.56074766355141
2015,6,6,17,37,0.5945945945945946,0,5,0,20,0.0,54,12,Sunny,2015-06-06 17:00:00,54,43,47,43,25,13.953488372093023,9.016393442622945
2015,6,6,18,30,0.4666666666666667,0,5,0,20,0.0,59,8,Clear,2015-06-06 18:00:00,35,37,43,48,34,14.285714285714285,23.076923076923077
2015,6,6,19,25,0.72,0,5,0,19,0.0,62,8,Clear,2015-06-06 19:00:00,41,30,37,33,8,24.242424242424242,8.536585365853655
2015,6,6,20,19,0.631578947368421,0,5,0,18,0.0,65,8,Clear,2015-06-06 20:00:00,15,25,30,23,2,26.666666666666668,42.49999999999999
2015,6,7,9,14,0.5,0,6,0,20,0.0,61,7,Sunny,2015-06-07 09:00:00,12,8,3,8,15,16.666666666666664,20.000000000000007
2015,6,7,13,36,0.5833333333333334,0,6,0,20,0.0,64,19,Sunny,2015-06-07 13:00:00,33,23,26,40,39,7.6923076923076925,3.5714285714285774
2015,6,7,15,37,0.5945945945945946,0,6,0,19,0.0,67,23,Sunny,2015-06-07 15:00:00,21,43,36,41,37,0.0,12.121212121212121
2015,6,7,17,60,0.5,0,6,0,17,0.0,68,21,Sunny,2015-06-07 17:00:00,7,50,37,52,49,22.448979591836736,66.66666666666666
2015,6,7,19,44,0.7272727272727273,0,6,0,15,0.0,70,20,Clear,2015-06-07 19:00:00,1,37,60,35,35,25.71428571428571,85.91549295774647
2015,6,7,20,15,0.4666666666666667,0,6,0,15,0.0,72,21,Clear,2015-06-07 20:00:00,2,44,37,14,24,7.142857142857142,12.499999999999995
2015,6,7,22,4,1.0,0,6,0,15,0.0,76,19,Clear,2015-06-07 22:00:00,1,5,15,5,4,0.0,19.999999999999996
2015,6,8,14,13,0.7692307692307693,0,0,1,24,0.0,70,27,Partly cloudy,2015-06-08 14:00:00,6,7,10,38,16,18.75,35.0
2015,6,8,15,14,0.7857142857142857,0,0,1,24,0.0,71,29,Partly cloudy,2015-06-08 15:00:00,7,13,7,50,14,0.0,40.845070422535215
2015,6,8,16,13,0.6923076923076923,0,0,1,23,0.0,75,26,Partly cloudy,2015-06-08 16:00:00,6,14,13,63,15,13.333333333333334,53.57142857142857
2015,6,8,17,30,0.8333333333333334,0,0,1,22,0.5,78,22,Light rain shower,2015-06-08 17:00:00,16,13,14,41,36,16.666666666666664,3.225806451612903
2015,6,8,19,24,0.8333333333333334,0,0,1,21,0.3,85,22,Light rain shower,2015-06-08 19:00:00,2,67,30,27,28,11.11111111111111,26.31578947368421
2015,6,8,21,9,1.0,0,0,1,19,2.0,91,27,Moderate or heavy rain shower,2015-06-08 21:00:00,3,26,24,9,8,12.5,34.99999999999999
2015,6,9,5,1,1.0,0,1,1,19,0.1,92,15,Light rain shower,2015-06-09 05:00:00,2,0,0,1,1,0.0,24.999999999999993
2015,6,9,8,17,0.8823529411764706,0,1,1,21,0.3,86,18,Light rain shower,2015-06-09 08:00:00,8,11,9,17,16,6.25,24.39024390243903
2015,6,9,9,9,1.0,0,1,1,22,0.4,84,20,Light rain shower,2015-06-09 09:00:00,6,17,11,17,8,12.5,12.903225806451617
2015,6,9,12,9,0.8888888888888888,0,1,1,25,1.5,67,17,Moderate or heavy rain shower,2015-06-09 12:00:00,2,8,4,21,9,0.0,15.624999999999995
2015,6,9,13,7,0.8571428571428571,0,1,1,25,0.7,65,19,Moderate or heavy rain shower,2015-06-09 13:00:00,4,9,8,6,13,16.666666666666664,8.695652173913047
2015,6,9,15,17,0.8823529411764706,0,1,1,24,0.6,62,25,Patchy rain possible,2015-06-09 15:00:00,4,17,7,15,17,13.333333333333334,41.66666666666667
2015,6,9,17,33,0.8787878787878788,0,1,1,22,0.5,69,18,Patchy rain possible,2015-06-09 17:00:00,3,6,17,48,36,8.333333333333332,13.793103448275861
2015,6,9,20,23,0.9565217391304348,0,1,1,20,0.0,77,14,Clear,2015-06-09 20:00:00,1,41,61,35,18,27.77777777777778,27.77777777777778
2015,6,9,21,10,1.0,0,1,1,19,0.0,79,14,Clear,2015-06-09 21:00:00,3,23,41,18,14,28.57142857142857,14.285714285714283
2015,6,9,22,8,0.75,0,1,1,18,0.0,81,11,Clear,2015-06-09 22:00:00,1,10,23,8,10,0.0,26.315789473684216
2015,6,10,6,11,1.0,0,2,1,21,0.0,76,2,Sunny,2015-06-10 06:00:00,6,0,0,9,9,22.22222222222222,37.5
2015,6,10,7,14,0.6428571428571429,0,2,1,22,0.0,71,4,Sunny,2015-06-10 07:00:00,14,11,0,12,9,16.666666666666664,20.000000000000007
2015,6,10,10,10,0.9,0,2,1,24,0.0,59,11,Sunny,2015-06-10 10:00:00,9,8,30,10,7,11.11111111111111,15.384615384615394
2015,6,10,12,11,0.8181818181818182,0,2,1,25,0.0,55,15,Sunny,2015-06-10 12:00:00,13,9,10,11,4,0.0,17.85714285714285
