year,month,day,hour,ausleihen,subrate,holidays,weekday,workday
2019,8,3,15,44,0.4772727272727273,0,5,0
2019,8,3,16,32,0.53125,0,5,0
2019,8,3,17,43,0.3255813953488372,0,5,0
2019,8,3,18,34,0.6470588235294118,0,5,0
2019,8,3,19,26,0.5769230769230769,0,5,0
2019,8,3,20,25,0.36,0,5,0
2019,8,3,21,16,0.75,0,5,0
2019,8,3,22,8,0.5,0,5,0
2019,8,3,23,4,0.0,0,5,0
2019,8,4,0,1,1.0,0,6,0
2019,8,4,1,2,1.0,0,6,0
2019,8,4,6,1,1.0,0,6,0
2019,8,4,7,3,1.0,0,6,0
2019,8,4,8,8,0.75,0,6,0
2019,8,4,9,10,0.8,0,6,0
2019,8,4,10,21,0.5238095238095238,0,6,0
2019,8,4,11,14,0.4285714285714285,0,6,0
2019,8,4,12,47,0.425531914893617,0,6,0
2019,8,4,13,33,0.6060606060606061,0,6,0
2019,8,4,14,24,0.4166666666666667,0,6,0
2019,8,4,15,58,0.4655172413793103,0,6,0
2019,8,4,16,56,0.4821428571428571,0,6,0
2019,8,4,17,55,0.4545454545454545,0,6,0
2019,8,4,18,49,0.4489795918367347,0,6,0
2019,8,4,19,34,0.5294117647058824,0,6,0
2019,8,4,20,17,0.4705882352941176,0,6,0
2019,8,4,21,20,0.45,0,6,0
2019,8,4,22,5,1.0,0,6,0
2019,8,4,23,4,1.0,0,6,0
2019,8,5,0,2,0.5,0,0,1
2019,8,5,1,1,0.0,0,0,1
2019,8,5,2,1,1.0,0,0,1
2019,8,5,3,1,0.0,0,0,1
2019,8,5,5,5,1.0,0,0,1
2019,8,5,6,10,1.0,0,0,1
2019,8,5,7,20,0.9,0,0,1
2019,8,5,8,31,0.8387096774193549,0,0,1
2019,8,5,9,22,0.9545454545454546,0,0,1
2019,8,5,10,14,0.7142857142857143,0,0,1
2019,8,5,11,15,0.4666666666666667,0,0,1
2019,8,5,12,9,0.7777777777777778,0,0,1
2019,8,5,13,5,0.8,0,0,1
2019,8,5,14,9,0.6666666666666666,0,0,1
2019,8,5,15,19,0.4736842105263157,0,0,1
2019,8,5,16,21,0.7142857142857143,0,0,1
2019,8,5,17,79,0.8481012658227848,0,0,1
2019,8,5,18,110,0.9090909090909092,0,0,1
2019,8,5,19,65,0.8307692307692308,0,0,1
2019,8,5,20,43,0.813953488372093,0,0,1
2019,8,5,21,30,0.6666666666666666,0,0,1
2019,8,5,22,4,0.5,0,0,1
2019,8,5,23,4,0.75,0,0,1
2019,8,6,0,2,1.0,0,1,1
2019,8,6,1,3,0.3333333333333333,0,1,1
2019,8,6,2,1,1.0,0,1,1
2019,8,6,4,1,1.0,0,1,1
2019,8,6,5,2,1.0,0,1,1
2019,8,6,6,11,1.0,0,1,1
2019,8,6,7,26,1.0,0,1,1
2019,8,6,8,30,0.9,0,1,1
2019,8,6,9,16,0.75,0,1,1
2019,8,6,10,12,0.8333333333333334,0,1,1
2019,8,6,11,14,0.7142857142857143,0,1,1
2019,8,6,12,16,0.75,0,1,1
2019,8,6,13,1,1.0,0,1,1
2019,8,6,14,6,0.8333333333333334,0,1,1
2019,8,6,15,15,0.4,0,1,1
2019,8,6,16,23,0.5652173913043478,0,1,1
2019,8,6,17,75,0.88,0,1,1
2019,8,6,18,102,0.8627450980392157,0,1,1
2019,8,6,19,84,0.8571428571428571,0,1,1
2019,8,6,20,29,0.8275862068965517,0,1,1
2019,8,6,21,39,0.717948717948718,0,1,1
2019,8,6,22,5,0.8,0,1,1
2019,8,6,23,8,0.625,0,1,1
2019,8,7,0,4,0.75,0,2,1
2019,8,7,1,2,1.0,0,2,1
2019,8,7,2,1,0.0,0,2,1
