start,year,month,dayofweek,hour,bikeid,day1anzahl,weekday
2017-01-13,2017,1,4,22,1,9.0,1
2017-01-13,2017,1,4,23,1,7.0,1
2017-01-14,2017,1,5,0,1,5.0,0
2017-01-14,2017,1,5,4,1,1.0,0
2017-01-14,2017,1,5,6,3,50.0,0
2017-01-14,2017,1,5,7,3,17.0,0
2017-01-14,2017,1,5,8,2,17.0,0
2017-01-14,2017,1,5,10,7,4.0,0
2017-01-14,2017,1,5,11,4,4.0,0
2017-01-14,2017,1,5,12,1,8.0,0
2017-01-14,2017,1,5,13,3,9.0,0
2017-01-14,2017,1,5,14,5,5.0,0
2017-01-14,2017,1,5,15,3,5.0,0
2017-01-14,2017,1,5,16,3,4.0,0
2017-01-14,2017,1,5,17,4,7.0,0
2017-01-14,2017,1,5,18,2,14.0,0
2017-01-14,2017,1,5,19,2,6.0,0
2017-01-14,2017,1,5,20,2,4.0,0
2017-01-14,2017,1,5,23,1,1.0,0
2017-01-15,2017,1,6,1,1,,0
2017-01-15,2017,1,6,8,1,2.0,0
2017-01-15,2017,1,6,9,1,,0
2017-01-15,2017,1,6,10,4,7.0,0
2017-01-15,2017,1,6,11,1,4.0,0
2017-01-15,2017,1,6,12,6,1.0,0
2017-01-15,2017,1,6,13,6,3.0,0
2017-01-15,2017,1,6,14,5,5.0,0
2017-01-15,2017,1,6,15,6,3.0,0
2017-01-15,2017,1,6,16,5,3.0,0
2017-01-15,2017,1,6,17,3,4.0,0
2017-01-15,2017,1,6,18,3,2.0,0
2017-01-15,2017,1,6,19,5,2.0,0
2017-01-15,2017,1,6,20,1,2.0,0
2017-01-15,2017,1,6,21,1,,0
2017-01-15,2017,1,6,22,5,,0
2017-01-15,2017,1,6,23,1,1.0,0
2017-01-16,2017,1,0,2,1,,1
2017-01-16,2017,1,0,4,2,,1
2017-01-16,2017,1,0,6,6,,1
2017-01-16,2017,1,0,7,13,,1
2017-01-16,2017,1,0,8,12,1.0,1
2017-01-16,2017,1,0,9,11,1.0,1
2017-01-16,2017,1,0,10,1,4.0,1
2017-01-16,2017,1,0,11,2,1.0,1
2017-01-16,2017,1,0,12,9,6.0,1
2017-01-16,2017,1,0,13,3,6.0,1
2017-01-16,2017,1,0,14,1,5.0,1
2017-01-16,2017,1,0,15,9,6.0,1
2017-01-16,2017,1,0,16,8,5.0,1
2017-01-16,2017,1,0,17,13,3.0,1
2017-01-16,2017,1,0,18,9,3.0,1
2017-01-16,2017,1,0,19,6,5.0,1
2017-01-16,2017,1,0,20,6,1.0,1
2017-01-16,2017,1,0,21,4,1.0,1
2017-01-16,2017,1,0,22,3,5.0,1
2017-01-17,2017,1,1,0,1,,1
2017-01-17,2017,1,1,1,2,,1
2017-01-17,2017,1,1,4,4,2.0,1
2017-01-17,2017,1,1,5,3,,1
2017-01-17,2017,1,1,6,11,6.0,1
2017-01-17,2017,1,1,7,16,13.0,1
2017-01-17,2017,1,1,8,20,12.0,1
2017-01-17,2017,1,1,9,9,11.0,1
2017-01-17,2017,1,1,10,2,1.0,1
2017-01-17,2017,1,1,11,2,2.0,1
2017-01-17,2017,1,1,12,1,9.0,1
2017-01-17,2017,1,1,13,2,3.0,1
2017-01-17,2017,1,1,14,1,1.0,1
2017-01-17,2017,1,1,16,5,8.0,1
2017-01-17,2017,1,1,17,4,13.0,1
2017-01-17,2017,1,1,18,3,9.0,1
2017-01-17,2017,1,1,19,5,6.0,1
2017-01-17,2017,1,1,20,1,6.0,1
2017-01-17,2017,1,1,21,3,4.0,1
2017-01-17,2017,1,1,22,4,3.0,1
2017-01-17,2017,1,1,23,3,,1
2017-01-18,2017,1,2,0,1,1.0,1
2017-01-18,2017,1,2,4,3,4.0,1
2017-01-18,2017,1,2,5,5,3.0,1
2017-01-18,2017,1,2,6,37,11.0,1
2017-01-18,2017,1,2,7,32,16.0,1
2017-01-18,2017,1,2,8,17,20.0,1
2017-01-18,2017,1,2,9,12,9.0,1
2017-01-18,2017,1,2,10,5,2.0,1
2017-01-18,2017,1,2,11,4,2.0,1
2017-01-18,2017,1,2,12,1,1.0,1
2017-01-18,2017,1,2,13,7,2.0,1
2017-01-18,2017,1,2,14,3,1.0,1
2017-01-18,2017,1,2,15,9,,1
2017-01-18,2017,1,2,16,5,5.0,1
2017-01-18,2017,1,2,17,15,4.0,1
2017-01-18,2017,1,2,18,18,3.0,1
2017-01-18,2017,1,2,19,9,5.0,1
2017-01-18,2017,1,2,20,5,1.0,1
2017-01-18,2017,1,2,21,1,3.0,1
2017-01-18,2017,1,2,22,4,4.0,1
2017-01-18,2017,1,2,23,5,3.0,1
2017-01-19,2017,1,3,0,2,1.0,1
2017-01-19,2017,1,3,1,1,,1
2017-01-19,2017,1,3,4,2,3.0,1
2017-01-19,2017,1,3,5,3,5.0,1
2017-01-19,2017,1,3,6,44,37.0,1
2017-01-19,2017,1,3,7,28,32.0,1
2017-01-19,2017,1,3,8,16,17.0,1
2017-01-19,2017,1,3,9,17,12.0,1
2017-01-19,2017,1,3,10,9,5.0,1
2017-01-19,2017,1,3,11,4,4.0,1
2017-01-19,2017,1,3,12,5,1.0,1
2017-01-19,2017,1,3,13,5,7.0,1
2017-01-19,2017,1,3,14,10,3.0,1
2017-01-19,2017,1,3,15,7,9.0,1
2017-01-19,2017,1,3,16,8,5.0,1
2017-01-19,2017,1,3,17,11,15.0,1
2017-01-19,2017,1,3,18,15,18.0,1
2017-01-19,2017,1,3,19,12,9.0,1
2017-01-19,2017,1,3,20,3,5.0,1
2017-01-19,2017,1,3,21,2,1.0,1
2017-01-19,2017,1,3,22,5,4.0,1
2017-01-20,2017,1,4,0,1,2.0,1
2017-01-20,2017,1,4,1,1,1.0,1
2017-01-20,2017,1,4,4,3,2.0,1
2017-01-20,2017,1,4,5,1,3.0,1
2017-01-20,2017,1,4,6,48,44.0,1
2017-01-20,2017,1,4,7,34,28.0,1
2017-01-20,2017,1,4,8,13,16.0,1
2017-01-20,2017,1,4,9,15,17.0,1
2017-01-20,2017,1,4,10,10,9.0,1
2017-01-20,2017,1,4,11,3,4.0,1
2017-01-20,2017,1,4,12,9,5.0,1
2017-01-20,2017,1,4,13,7,5.0,1
2017-01-20,2017,1,4,14,6,10.0,1
2017-01-20,2017,1,4,15,2,7.0,1
2017-01-20,2017,1,4,16,3,8.0,1
2017-01-20,2017,1,4,17,3,11.0,1
2017-01-20,2017,1,4,18,6,15.0,1
2017-01-20,2017,1,4,19,6,12.0,1
2017-01-20,2017,1,4,20,1,3.0,1
2017-01-20,2017,1,4,21,5,2.0,1
2017-01-20,2017,1,4,22,2,5.0,1
2017-01-20,2017,1,4,23,2,,1
2017-01-21,2017,1,5,0,5,1.0,0
2017-01-21,2017,1,5,2,3,,0
2017-01-21,2017,1,5,3,1,,0
2017-01-21,2017,1,5,5,1,1.0,0
2017-01-21,2017,1,5,6,1,48.0,0
2017-01-21,2017,1,5,7,2,34.0,0
2017-01-21,2017,1,5,9,4,15.0,0
2017-01-21,2017,1,5,10,4,10.0,0
2017-01-21,2017,1,5,11,7,3.0,0
2017-01-21,2017,1,5,12,2,9.0,0
2017-01-21,2017,1,5,13,12,7.0,0
2017-01-21,2017,1,5,14,15,6.0,0
2017-01-21,2017,1,5,15,10,2.0,0
2017-01-21,2017,1,5,16,6,3.0,0
2017-01-21,2017,1,5,17,3,3.0,0
2017-01-21,2017,1,5,18,4,6.0,0
2017-01-21,2017,1,5,19,7,6.0,0
2017-01-21,2017,1,5,20,1,1.0,0
2017-01-21,2017,1,5,21,4,5.0,0
2017-01-21,2017,1,5,22,10,2.0,0
2017-01-21,2017,1,5,23,3,2.0,0
2017-01-22,2017,1,6,0,1,5.0,0
2017-01-22,2017,1,6,1,1,,0
