starttime,hour,tempC,precipMM,humidity
2019-05-22,14,24,0.0,33
2019-05-22,15,24,0.0,32
2019-05-22,16,23,0.0,33
2019-05-22,17,23,0.0,35
2019-05-22,18,22,0.0,37
2019-05-22,19,21,0.0,40
2019-05-22,20,20,0.0,43
2019-05-22,21,18,0.0,46
2019-05-22,22,18,0.0,47
2019-05-22,23,18,0.0,48
2019-05-23,0,18,0.0,49
2019-05-23,1,17,0.0,52
2019-05-23,2,17,0.0,55
2019-05-23,3,17,0.0,58
2019-05-23,4,17,0.0,59
2019-05-23,5,16,0.5,59
2019-05-23,6,16,0.7,60
2019-05-23,7,17,0.3,58
2019-05-23,8,18,0.2,56
2019-05-23,9,19,0.3,54
2019-05-23,10,20,0.1,55
2019-05-23,11,22,0.2,56
2019-05-23,12,23,0.3,57
2019-05-23,13,22,0.2,63
2019-05-23,14,22,0.5,69
2019-05-23,15,21,0.7,75
2019-05-23,16,21,0.3,77
2019-05-23,17,21,0.7,78
2019-05-23,18,21,0.9,80
2019-05-23,19,21,0.4,81
2019-05-23,20,20,0.2,82
2019-05-23,21,20,0.2,83
2019-05-23,22,20,0.1,81
2019-05-23,23,20,0.2,80
2019-05-24,0,20,0.4,78
2019-05-24,1,19,0.2,77
2019-05-24,2,19,0.0,76
2019-05-24,3,18,0.0,76
2019-05-24,4,18,0.0,71
2019-05-24,5,18,0.0,66
2019-05-24,6,18,0.0,61
2019-05-24,7,19,0.0,57
2019-05-24,8,19,0.0,53
2019-05-24,9,20,0.0,50
2019-05-24,10,21,0.0,48
2019-05-24,11,22,0.0,46
2019-05-24,12,23,0.0,45
2019-05-24,13,22,0.0,46
2019-05-24,14,22,0.0,47
2019-05-24,15,22,0.0,48
2019-05-24,16,21,0.0,51
2019-05-24,17,21,0.0,53
2019-05-24,18,20,0.0,56
2019-05-24,19,19,0.0,59
2019-05-24,20,19,0.0,61
2019-05-24,21,18,0.0,64
2019-05-24,22,18,0.0,66
2019-05-24,23,18,0.0,68
2019-05-25,0,18,0.0,70
2019-05-25,1,17,0.0,72
2019-05-25,2,16,0.0,75
2019-05-25,3,15,0.0,78
2019-05-25,4,16,0.0,76
2019-05-25,5,16,0.0,73
2019-05-25,6,17,0.0,71
2019-05-25,7,17,0.0,66
2019-05-25,8,18,0.0,61
2019-05-25,9,19,0.0,56
2019-05-25,10,20,0.0,54
2019-05-25,11,20,0.0,53
2019-05-25,12,21,0.0,51
2019-05-25,13,21,0.0,51
2019-05-25,14,21,0.0,51
2019-05-25,15,20,0.0,52
2019-05-25,16,20,0.0,55
2019-05-25,17,19,0.0,58
2019-05-25,18,19,0.0,60
2019-05-25,19,18,0.0,64
2019-05-25,20,17,0.2,67
2019-05-25,21,17,0.2,70
2019-05-25,22,16,0.1,74
2019-05-25,23,16,0.0,78
2019-05-26,0,16,0.0,81
2019-05-26,1,17,0.0,83
2019-05-26,2,17,0.1,86
2019-05-26,3,17,0.2,88
2019-05-26,4,18,0.1,86
2019-05-26,5,19,0.0,85
2019-05-26,6,19,0.0,84
2019-05-26,7,21,0.0,77
2019-05-26,8,23,0.0,69
2019-05-26,9,24,0.0,62
2019-05-26,10,26,0.0,55
2019-05-26,11,27,0.0,48
2019-05-26,12,29,0.0,41
2019-05-26,13,28,0.0,44
2019-05-26,14,28,0.0,46
2019-05-26,15,27,0.0,49
2019-05-26,16,26,0.0,54
2019-05-26,17,25,0.0,59
2019-05-26,18,24,0.0,64
2019-05-26,19,23,0.0,66
2019-05-26,20,22,0.0,68
2019-05-26,21,22,0.0,71
2019-05-26,22,21,0.0,71
2019-05-26,23,21,0.0,72
2019-05-27,0,20,0.0,72
2019-05-27,1,20,0.0,70
2019-05-27,2,20,0.0,68
2019-05-27,3,19,0.0,67
2019-05-27,4,19,0.0,64
2019-05-27,5,20,0.0,62
2019-05-27,6,20,0.0,60
2019-05-27,7,21,0.0,56
2019-05-27,8,22,0.0,52
2019-05-27,9,24,0.0,48
2019-05-27,10,25,0.0,46
2019-05-27,11,25,0.0,44
2019-05-27,12,26,0.0,42
2019-05-27,13,26,0.0,42
2019-05-27,14,26,0.0,42
2019-05-27,15,26,0.0,42
2019-05-27,16,26,0.0,44
2019-05-27,17,25,0.0,45
2019-05-27,18,25,0.0,46
2019-05-27,19,24,0.0,49
2019-05-27,20,23,0.0,51
2019-05-27,21,22,0.0,54
2019-05-27,22,21,0.0,56
2019-05-27,23,21,0.0,59
2019-05-28,0,20,0.0,61
2019-05-28,1,19,0.0,62
2019-05-28,2,19,0.0,63
2019-05-28,3,19,0.0,63
2019-05-28,4,19,0.0,64
2019-05-28,5,19,0.0,65
2019-05-28,6,19,0.0,67
2019-05-28,7,19,0.0,67
2019-05-28,8,19,0.1,68
2019-05-28,9,19,0.1,69
2019-05-28,10,19,0.1,69
2019-05-28,11,19,0.2,69
2019-05-28,12,20,0.2,69
2019-05-28,13,20,0.1,71
2019-05-28,14,20,0.3,74
2019-05-28,15,20,0.4,77
2019-05-28,16,21,0.2,78
2019-05-28,17,21,0.5,80
2019-05-28,18,22,0.7,82
2019-05-28,19,21,0.3,84
2019-05-28,20,21,0.4,85
2019-05-28,21,20,0.6,87
2019-05-28,22,20,0.3,87
2019-05-28,23,20,0.4,87
2019-05-29,0,20,0.9,87
2019-05-29,1,20,0.4,86
2019-05-29,2,20,0.0,85
2019-05-29,3,19,0.0,83
2019-05-29,4,19,0.0,82
2019-05-29,5,19,0.0,81
2019-05-29,6,19,0.0,79
2019-05-29,7,19,0.0,75
2019-05-29,8,19,0.0,70
2019-05-29,9,19,0.0,66
2019-05-29,10,20,0.0,64
2019-05-29,11,21,0.0,62
2019-05-29,12,22,0.0,60
2019-05-29,13,21,0.0,65
2019-05-29,14,19,1.1,70
2019-05-29,15,18,1.5,75
2019-05-29,16,18,0.8,77
2019-05-29,17,18,2.4,80
2019-05-29,18,17,3.2,82
2019-05-29,19,16,1.6,81
2019-05-29,20,16,0.1,80
2019-05-29,21,15,0.1,79
2019-05-29,22,15,0.0,79
2019-05-29,23,15,0.0,80
2019-05-30,0,15,0.1,80
2019-05-30,1,15,0.0,79
2019-05-30,2,15,0.0,78
2019-05-30,3,15,0.0,77
2019-05-30,4,16,0.0,76
2019-05-30,5,16,0.0,76
2019-05-30,6,17,0.0,75
2019-05-30,7,18,0.0,74
2019-05-30,8,19,0.0,73
2019-05-30,9,20,0.0,72
2019-05-30,10,21,0.0,68
2019-05-30,11,22,0.0,65
2019-05-30,12,24,0.0,62
2019-05-30,13,23,0.0,64
2019-05-30,14,22,0.1,67
2019-05-30,15,22,0.1,69
2019-05-30,16,21,0.0,73
2019-05-30,17,21,1.3,78
2019-05-30,18,21,1.7,82
2019-05-30,19,20,0.8,83
2019-05-30,20,19,0.8,84
2019-05-30,21,19,1.1,86
2019-05-30,22,19,0.6,87
2019-05-30,23,19,0.2,88
2019-05-31,0,19,0.3,89
2019-05-31,1,18,0.2,89
2019-05-31,2,18,0.0,89
2019-05-31,3,18,0.0,89
2019-05-31,4,18,0.0,85
2019-05-31,5,18,0.0,80
2019-05-31,6,19,0.0,76
2019-05-31,7,20,0.0,68
2019-05-31,8,22,0.0,60
2019-05-31,9,24,0.0,52
2019-05-31,10,25,0.0,49
2019-05-31,11,26,0.0,46
2019-05-31,12,26,0.0,43
2019-05-31,13,26,0.0,44
2019-05-31,14,26,0.0,46
2019-05-31,15,26,0.0,47
2019-05-31,16,26,0.0,50
2019-05-31,17,25,0.0,52
2019-05-31,18,25,0.0,55
2019-05-31,19,24,0.0,59
2019-05-31,20,23,0.0,62
2019-05-31,21,22,0.0,66
2019-05-31,22,22,0.0,67
2019-05-31,23,21,0.0,68
