start,year,month,dayofweek,hour,bikeid
2017-01-17,2017,1,1,19,5
2017-01-17,2017,1,1,20,1
2017-01-17,2017,1,1,21,3
2017-01-17,2017,1,1,22,4
2017-01-17,2017,1,1,23,3
2017-01-18,2017,1,2,0,1
2017-01-18,2017,1,2,4,3
2017-01-18,2017,1,2,5,5
2017-01-18,2017,1,2,6,37
2017-01-18,2017,1,2,7,32
2017-01-18,2017,1,2,8,17
2017-01-18,2017,1,2,9,12
2017-01-18,2017,1,2,10,5
2017-01-18,2017,1,2,11,4
2017-01-18,2017,1,2,12,1
2017-01-18,2017,1,2,13,7
2017-01-18,2017,1,2,14,3
2017-01-18,2017,1,2,15,9
2017-01-18,2017,1,2,16,5
2017-01-18,2017,1,2,17,15
2017-01-18,2017,1,2,18,18
2017-01-18,2017,1,2,19,9
2017-01-18,2017,1,2,20,5
2017-01-18,2017,1,2,21,1
2017-01-18,2017,1,2,22,4
2017-01-18,2017,1,2,23,5
2017-01-19,2017,1,3,0,2
2017-01-19,2017,1,3,1,1
2017-01-19,2017,1,3,4,2
2017-01-19,2017,1,3,5,3
2017-01-19,2017,1,3,6,44
2017-01-19,2017,1,3,7,28
2017-01-19,2017,1,3,8,16
2017-01-19,2017,1,3,9,17
2017-01-19,2017,1,3,10,9
2017-01-19,2017,1,3,11,4
2017-01-19,2017,1,3,12,5
2017-01-19,2017,1,3,13,5
2017-01-19,2017,1,3,14,10
2017-01-19,2017,1,3,15,7
2017-01-19,2017,1,3,16,8
2017-01-19,2017,1,3,17,11
2017-01-19,2017,1,3,18,15
2017-01-19,2017,1,3,19,12
2017-01-19,2017,1,3,20,3
2017-01-19,2017,1,3,21,2
2017-01-19,2017,1,3,22,5
2017-01-20,2017,1,4,0,1
2017-01-20,2017,1,4,1,1
2017-01-20,2017,1,4,4,3
2017-01-20,2017,1,4,5,1
2017-01-20,2017,1,4,6,48
2017-01-20,2017,1,4,7,34
2017-01-20,2017,1,4,8,13
2017-01-20,2017,1,4,9,15
2017-01-20,2017,1,4,10,10
2017-01-20,2017,1,4,11,3
2017-01-20,2017,1,4,12,9
2017-01-20,2017,1,4,13,7
2017-01-20,2017,1,4,14,6
2017-01-20,2017,1,4,15,2
2017-01-20,2017,1,4,16,3
2017-01-20,2017,1,4,17,3
2017-01-20,2017,1,4,18,6
2017-01-20,2017,1,4,19,6
2017-01-20,2017,1,4,20,1
2017-01-20,2017,1,4,21,5
2017-01-20,2017,1,4,22,2
2017-01-20,2017,1,4,23,2
2017-01-21,2017,1,5,0,5
2017-01-21,2017,1,5,2,3
2017-01-21,2017,1,5,3,1
2017-01-21,2017,1,5,5,1
2017-01-21,2017,1,5,6,1
2017-01-21,2017,1,5,7,2
2017-01-21,2017,1,5,9,4
2017-01-21,2017,1,5,10,4
2017-01-21,2017,1,5,11,7
2017-01-21,2017,1,5,12,2
2017-01-21,2017,1,5,13,12
2017-01-21,2017,1,5,14,15
2017-01-21,2017,1,5,15,10
2017-01-21,2017,1,5,16,6
2017-01-21,2017,1,5,17,3
2017-01-21,2017,1,5,18,4
2017-01-21,2017,1,5,19,7
2017-01-21,2017,1,5,20,1
2017-01-21,2017,1,5,21,4
2017-01-21,2017,1,5,22,10
2017-01-21,2017,1,5,23,3
2017-01-22,2017,1,6,0,1
2017-01-22,2017,1,6,1,1
2017-01-22,2017,1,6,2,4
2017-01-22,2017,1,6,6,3
