year,day,month,start station,start station latitude,start station longitude,anzahl,precipMM,humidity,tempC,day1anzahl,dayofweek
2019,1,5,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,22,0.0,68.85714285714286,12.428571428571429,0.0,2.0
2019,1,5,48 Ave & 30 Pl,40.74128309355993,-73.93725872039794,7,0.0,74.5,11.75,0.0,2.0
2019,1,5,48 Ave & 5 St,40.74436328706688,-73.9558732509613,21,0.009090909090909092,70.72727272727273,11.727272727272727,0.0,2.0
2019,1,5,49 Ave & 21 St,40.74252,-73.948852,27,0.04,72.3,11.5,0.0,2.0
2019,1,5,5 Ave & 3 St,40.6728155,-73.98352355,49,0.021052631578947368,71.05263157894737,11.842105263157896,0.0,2.0
2019,1,5,5 Ave & E 103 St,40.7922553,-73.95249933,61,0.0,69.2,11.933333333333334,0.0,2.0
2019,1,5,5 Ave & E 126 St,40.80698,-73.941747,20,0.009090909090909092,70.63636363636364,11.727272727272727,0.0,2.0
2019,1,5,5 Ave & E 29 St,40.7451677,-73.98683077,228,0.025,71.25,11.75,0.0,2.0
2019,1,5,5 Ave & E 63 St,40.766368,-73.971518,51,0.006666666666666667,69.06666666666666,11.933333333333334,0.0,2.0
2019,1,5,5 Ave & E 73 St,40.77282817,-73.96685276,111,0.006666666666666667,69.73333333333333,11.933333333333334,0.0,2.0
2019,1,5,5 Ave & E 78 St,40.77632142182271,-73.96427392959595,53,0.023076923076923075,72.07692307692308,11.846153846153847,0.0,2.0
2019,1,5,5 Ave & E 88 St,40.78307,-73.95939,105,0.02631578947368421,71.3157894736842,11.789473684210526,0.0,2.0
2019,1,5,5 Ave & E 93 St,40.7857851,-73.957481,28,0.0,69.0,12.181818181818182,0.0,2.0
2019,1,5,5 St & 51 Ave,40.7423737,-73.9566,14,0.009090909090909092,71.18181818181819,11.636363636363637,0.0,2.0
2019,1,5,5 St & 6 Ave,40.6704836,-73.98208968,27,0.007692307692307693,71.07692307692308,11.692307692307692,0.0,2.0
2019,1,5,5 St & Market St,40.6999974843885,-73.97440128028393,18,0.0375,70.25,12.375,0.0,2.0
2019,1,5,6 Ave & 12 St,40.6663181,-73.9854617,22,0.03333333333333333,70.0,11.916666666666666,0.0,2.0
2019,1,5,6 Ave & 9 St,40.668127,-73.98377641,40,0.0,69.08333333333333,12.166666666666666,0.0,2.0
