year,subrate,holidays,workday,tempC,precipMM,humidity,windspeedKmph,rueckgabe1stunde,ausleihen1stunde,ausleihen2stunde,ausleihen3stunde,ausleihen4stunde,ausleihen5stunde,ausleihen6stunde,weatherDesc2,weekday,month,hour,predict,count,differenz_prozent
2018,1.0,0,1,4,0.0,59,24,4,2,8,8,9,1,9,1,0,12,18,4.7183824,1,-371.83823585510254
2017,1.0,0,1,20,0.0,70,21,21,24,51,97,65,20,21,1,2,10,21,13.012657,5,-160.25314331054688
2015,1.0,0,1,-1,0.0,79,10,6,1,2,1,1,2,2,2,3,1,15,4.202095,1,-320.2095031738281
2018,0.5555555555555556,0,1,29,0.9,60,6,21,23,15,19,24,18,23,4,4,7,17,45.917015,9,-410.1890563964844
2016,0.75,0,1,9,0.0,92,5,11,12,29,43,20,13,9,2,1,3,21,9.840919,4,-146.02296352386475
2018,1.0,1,0,-3,0.0,39,28,2,0,4,3,2,2,4,1,3,11,15,5.071217,2,-153.56085300445557
2018,1.0,0,1,3,0.0,33,5,6,4,3,4,7,13,7,1,4,1,13,5.027453,2,-151.37264728546143
2016,0.8,0,1,28,0.8,73,14,11,12,14,24,12,15,9,4,3,7,16,15.516498,5,-210.32995223999023
2018,0.75,0,1,19,0.2,82,13,15,12,10,19,13,18,7,3,0,10,13,12.99876,4,-224.9690055847168
2015,1.0,0,1,-6,0.0,83,12,0,3,2,1,3,1,1,1,2,1,18,4.084853,1,-308.4853172302246
2016,1.0,0,0,1,0.1,70,7,5,8,4,6,3,5,8,4,6,12,18,4.139053,2,-106.95264339447021
2017,1.0,0,0,28,0.1,67,12,6,5,12,16,32,46,57,1,5,7,0,2.3307626,1,-133.07626247406006
2018,1.0,0,1,18,0.6,72,19,7,7,13,28,70,69,26,3,3,9,22,4.64867,2,-132.43350982666016
2016,1.0,0,1,26,2.1,66,8,5,6,15,16,9,3,8,4,3,9,15,10.89653,2,-444.8265075683594
2016,1.0,0,1,17,0.0,88,5,6,7,8,12,27,38,59,1,0,6,0,2.4423273,1,-144.23272609710693
2017,1.0,0,1,6,0.0,48,20,3,3,1,3,10,21,12,1,2,12,13,4.003567,2,-100.17836093902588
2018,0.6,1,0,19,0.0,77,12,26,28,31,28,20,21,30,1,0,5,20,23.783564,10,-137.83563613891602
2018,1.0,0,1,16,0.0,89,3,2,6,14,18,26,23,22,2,1,5,23,2.1210785,1,-112.10784912109375
2015,1.0,0,1,16,0.0,78,8,11,9,18,33,42,57,26,1,1,10,22,6.6039224,3,-120.13074556986491
2017,1.0,0,1,26,0.1,64,6,12,9,8,23,50,67,57,1,1,8,0,4.019135,1,-301.9134998321533
2015,1.0,0,1,6,0.0,48,7,2,2,3,2,4,3,8,1,1,3,14,4.18779,1,-318.77899169921875
2018,1.0,0,1,22,0.0,73,18,7,8,7,11,15,19,23,2,4,8,23,4.6605453,2,-133.0272674560547
2017,0.6666666666666666,0,1,17,0.0,74,12,29,29,50,32,60,88,24,1,1,6,22,25.198769,6,-319.97947692871094
2015,1.0,0,1,-7,0.0,63,16,5,3,7,6,1,5,4,1,1,1,20,3.9425275,1,-294.25275325775146
2016,1.0,0,1,4,0.0,59,36,3,3,8,17,11,4,2,2,0,11,11,2.9081018,1,-190.81017971038818
2015,0.6,0,1,27,1.4,76,17,12,14,10,15,11,13,13,4,1,7,16,12.732937,5,-154.6587371826172
2016,1.0,0,1,15,0.0,80,25,4,8,22,34,86,52,18,2,2,9,22,4.1623397,2,-108.1169843673706
2018,0.75,0,1,9,0.0,66,19,9,5,23,6,8,10,9,1,4,3,17,16.561928,8,-107.02409744262695
2015,1.0,0,1,5,0.2,69,21,9,9,2,5,5,5,8,3,2,3,14,6.3382125,3,-111.2737496693929
2015,1.0,0,1,0,2.4,95,21,0,3,2,3,4,1,3,4,4,3,17,4.785748,2,-139.2874002456665
2015,0.3333333333333333,1,0,4,0.0,69,23,7,7,3,5,4,3,3,1,0,1,15,7.0961986,3,-136.5399519602458
2017,1.0,0,1,3,0.0,71,7,13,7,11,18,19,9,4,1,0,12,21,6.0045238,3,-100.15079180399577
2015,0.75,0,1,11,2.0,95,22,8,2,19,16,6,7,6,3,0,6,20,8.26147,4,-106.53674602508545
2017,1.0,0,0,1,0.0,59,10,2,5,2,4,11,10,12,1,6,1,20,2.211587,1,-121.15869522094727
2015,1.0,0,1,21,0.0,79,12,16,17,10,13,18,23,37,1,4,9,23,7.361466,1,-636.1465930938721
2018,1.0,0,1,4,0.0,79,9,7,12,15,19,21,6,2,1,0,4,21,4.322717,1,-332.27171897888184
2016,0.0,0,1,12,0.0,47,5,9,12,17,39,34,11,13,1,0,11,21,9.562464,1,-856.2463760375977
2016,0.8888888888888888,1,0,11,0.0,55,33,17,12,21,17,12,10,21,1,4,11,14,18.272621,9,-103.0291239420573
2018,1.0,0,0,14,0.2,77,10,5,2,14,19,22,14,10,3,5,5,19,4.817739,1,-381.7739009857178
2017,1.0,0,1,-9,0.0,48,23,6,1,3,3,1,3,3,1,3,12,18,7.2808304,2,-264.04151916503906
2016,1.0,1,0,-5,0.0,53,35,3,3,3,4,4,7,5,2,0,1,19,2.018191,1,-101.81910991668701
2016,1.0,0,0,3,0.0,84,16,5,2,4,11,16,14,10,1,6,2,20,2.0637167,1,-106.37166500091553
2016,1.0,0,1,0,0.0,84,20,3,5,9,10,14,13,3,1,2,2,22,2.0570557,1,-105.70557117462158
2017,0.75,0,0,7,0.0,50,3,16,6,9,19,14,24,15,1,6,11,19,9.361423,4,-134.0355634689331
2018,1.0,0,1,26,5.9,77,15,25,48,18,9,13,8,5,4,2,7,18,54.7393,11,-397.62999794699925
2018,0.6153846153846154,0,1,31,0.0,57,21,27,24,20,18,8,9,13,1,3,7,15,27.493975,13,-111.4921129666842
2018,1.0,0,1,4,0.2,70,7,7,1,4,18,18,21,3,3,1,3,22,3.2863953,1,-228.63953113555908
2018,1.0,0,1,11,1.5,80,27,5,6,7,13,9,4,11,3,4,11,15,8.652211,4,-116.30527973175049
2015,0.0,0,0,11,0.1,88,15,13,6,18,13,14,22,14,3,5,11,16,7.5466166,1,-654.6616554260254
2018,1.0,0,0,11,0.0,71,13,4,3,11,8,10,22,14,1,6,10,22,3.1336305,1,-213.36305141448975
2015,1.0,0,1,21,0.8,95,11,33,37,35,51,13,14,9,3,1,9,20,20.25411,10,-102.5411033630371
2017,1.0,0,1,10,0.0,91,6,4,1,12,9,19,25,22,2,2,4,23,2.0035126,1,-100.35126209259033
2015,1.0,0,0,20,0.0,63,9,7,6,4,8,15,18,20,1,5,7,1,3.1575696,1,-215.75696468353271
2017,0.6666666666666666,0,1,22,0.0,91,9,9,10,8,25,49,34,49,1,4,6,0,6.5531373,3,-118.43791007995605
2015,0.6666666666666666,0,0,12,0.2,89,17,12,18,13,14,22,14,10,3,5,11,15,15.100451,6,-151.67419115702313
2016,1.0,0,0,16,0.0,92,3,9,2,7,9,13,30,24,2,6,10,23,4.049281,2,-102.46405601501465
2015,0.7142857142857143,0,0,22,3.5,85,11,20,16,21,28,33,29,19,4,6,5,17,19.70588,7,-181.51256016322546
2015,1.0,0,1,-5,0.1,71,10,0,0,2,3,1,3,4,4,1,1,14,2.2490156,1,-124.90155696868896
2015,1.0,0,1,12,0.4,91,13,3,4,2,1,4,6,8,3,1,6,14,4.8146787,1,-381.467866897583
2018,0.8,0,1,24,0.0,61,10,14,10,14,21,28,24,5,1,2,5,12,14.498878,5,-189.9775505065918
2016,1.0,0,1,13,0.0,60,17,1,0,0,1,3,9,18,1,4,6,3,2.4684882,1,-146.84882164001465
2018,1.0,0,1,14,3.9,96,24,2,4,2,4,7,2,3,4,4,1,12,2.9588933,1,-195.88932991027832
2018,0.5,0,1,18,0.0,74,12,3,5,6,11,2,2,12,1,1,5,23,4.8722825,2,-143.61412525177002
2017,1.0,0,0,-3,0.0,65,26,8,5,2,4,3,2,2,4,6,3,13,4.0028167,2,-100.1408338546753
2018,0.0,0,1,26,0.0,57,10,10,8,15,18,36,79,116,1,4,7,0,6.1553354,2,-207.76677131652832
2016,1.0,0,1,21,0.3,88,8,21,4,34,24,1,1,1,3,4,10,10,4.163626,2,-108.1813097000122
2017,1.0,0,1,12,0.0,79,19,10,15,25,38,64,63,22,1,2,4,22,4.9689217,2,-148.44608306884766
2016,0.0,0,0,17,0.0,73,9,5,3,2,12,28,34,48,1,6,6,1,2.160489,1,-116.04890823364258
2017,1.0,0,1,4,0.0,57,26,15,8,11,14,17,20,6,1,2,11,19,6.276991,1,-527.699089050293
2018,0.8571428571428571,0,1,14,0.4,83,4,12,3,3,1,1,2,19,3,1,11,15,14.650774,7,-109.29677145821708
2017,1.0,0,1,5,0.2,89,10,6,7,9,10,1,1,5,3,4,1,16,7.026719,3,-134.2239697774251
2017,1.0,0,0,8,0.0,81,4,4,6,2,8,9,13,11,1,6,12,22,3.404778,1,-240.4778003692627
2018,1.0,0,1,8,0.3,69,13,8,11,7,7,17,7,1,3,3,4,12,6.0960226,2,-204.8011302947998
2016,1.0,0,1,-5,0.0,41,11,1,4,5,6,3,5,1,2,4,2,12,2.654136,1,-165.41359424591064
2016,0.7,0,1,19,0.0,72,9,29,25,10,16,43,22,5,1,2,11,12,20.170374,10,-101.70373916625977
2018,1.0,0,1,22,0.0,90,8,5,6,11,20,31,42,81,1,2,10,0,2.1889868,1,-118.89867782592773
2015,1.0,0,1,7,0.0,78,6,4,3,8,14,22,18,9,2,1,12,22,2.4643607,1,-146.43607139587402
2015,0.4444444444444444,0,1,22,0.1,90,11,24,34,43,40,64,31,11,3,0,7,22,19.939337,9,-121.54818640814887
2018,1.0,0,0,6,1.9,98,7,4,1,3,12,16,8,6,3,5,2,15,2.1158473,1,-111.58473491668701
2015,0.5263157894736842,0,0,16,0.0,51,9,33,31,33,29,18,23,10,1,6,11,15,43.406162,19,-128.4534855892784
2016,1.0,0,1,8,0.3,87,15,2,6,7,4,6,4,4,3,0,2,16,5.6622314,1,-466.22314453125
2018,1.0,0,0,11,0.0,55,11,8,7,6,14,16,31,27,1,6,11,21,3.3503659,1,-235.03658771514893
2018,1.0,0,1,7,0.0,65,20,5,6,21,17,5,14,8,1,1,1,20,4.5342946,2,-126.71473026275635
2015,1.0,0,1,4,0.0,72,11,12,4,13,28,14,7,15,1,1,11,21,4.013241,2,-100.66204071044922
2015,0.5,1,0,14,0.2,87,4,15,20,17,17,11,14,19,3,4,12,17,11.240199,4,-181.00497722625732
2017,0.8,0,0,16,0.1,86,9,25,21,25,15,7,10,2,3,6,11,13,20.584393,10,-105.84392547607422
2016,0.0,0,0,19,2.5,94,8,12,12,9,3,7,13,47,4,6,6,0,6.640489,2,-232.0244550704956
2018,0.0,0,1,4,0.0,48,13,4,2,6,11,18,11,2,1,0,12,12,3.287608,1,-228.76079082489014
2016,0.6666666666666666,0,1,17,0.0,61,15,13,20,13,17,8,16,18,1,2,3,14,20.558516,9,-128.4279505411784
2018,0.8888888888888888,0,1,25,1.2,82,6,42,20,26,14,4,1,1,4,2,9,10,19.022242,9,-111.35823991563585
2018,1.0,1,0,-4,0.0,40,26,1,2,0,4,3,2,2,1,3,11,16,3.1567457,1,-215.67456722259521
2017,1.0,0,1,11,0.0,78,19,4,4,5,7,12,24,32,1,4,11,0,2.4236615,1,-142.3661470413208
2015,0.0,1,0,21,0.0,87,12,1,1,3,6,10,19,23,1,3,7,1,2.179127,1,-117.91269779205322
2018,1.0,0,1,10,0.0,67,10,6,13,4,19,7,8,12,1,0,4,21,7.2871923,3,-142.9064114888509
2016,0.0,0,1,15,0.2,90,11,11,15,20,19,43,47,19,3,3,3,22,4.296717,1,-329.6717166900635
2018,1.0,0,0,3,2.0,98,7,2,2,2,2,8,2,5,4,6,2,19,2.2488208,1,-124.88207817077637
2018,1.0,0,1,22,0.1,87,11,6,4,2,4,9,26,37,3,3,10,1,2.243525,1,-124.35250282287598
2018,0.5,0,1,8,1.2,94,16,8,5,4,7,12,14,5,3,3,12,19,4.0238976,2,-101.1948823928833
2017,1.0,0,1,6,0.1,96,9,3,3,12,17,34,29,13,3,1,3,22,2.1779096,1,-117.79096126556396
2018,0.8571428571428571,0,1,27,0.0,75,14,14,27,56,70,47,17,19,1,2,9,21,16.20647,7,-131.52100699288505
2018,1.0,0,1,3,0.0,49,22,8,6,16,12,5,7,3,1,1,3,20,5.3530526,2,-167.65263080596924
2018,1.0,0,1,4,0.2,77,6,12,7,8,23,5,6,6,3,3,2,20,6.572603,3,-119.08677419026692
2015,1.0,0,1,6,0.0,53,8,1,1,2,3,2,4,3,1,1,3,15,3.9565763,1,-295.6576347351074
2015,1.0,0,0,11,0.0,77,24,6,4,11,27,30,21,37,1,6,10,21,2.8541372,1,-185.41371822357178
2017,0.6666666666666666,0,1,27,0.0,59,17,13,9,9,11,27,33,19,1,0,7,13,15.267628,6,-154.46046193440753
2016,1.0,0,1,12,1.6,94,21,0,0,1,3,10,16,30,3,2,11,14,4.5311127,2,-126.55563354492188
