year,month,day,ausleihen,subs,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph
2016,6,9,395,335,0.8690685589581008,0.0,3.0,1.0,16.526315789473685,0.0,53.578947368421055,23.31578947368421
2016,6,10,477,384,0.841738273432378,0.0,4.0,1.0,15.285714285714286,0.0,58.857142857142854,14.714285714285714
2016,6,11,462,291,0.7316767496418667,0.0,5.0,0.0,22.1,0.53,73.5,15.4
2016,6,12,446,266,0.7239491623701768,0.0,6.0,0.0,21.05,0.025,59.7,25.45
2016,6,13,360,295,0.7838317871212608,0.0,0.0,1.0,18.31578947368421,0.0,61.10526315789474,19.31578947368421
2016,6,14,439,367,0.832877402357777,0.0,1.0,1.0,20.842105263157894,0.0,54.05263157894737,11.0
2016,6,15,456,403,0.8918032155745775,0.0,2.0,1.0,16.761904761904763,0.0,77.19047619047619,8.333333333333334
2016,6,16,334,305,0.9299269750187016,0.0,3.0,1.0,19.90909090909091,0.03181818181818182,78.04545454545455,10.045454545454545
2016,6,17,436,338,0.7873748350221791,0.0,4.0,1.0,19.571428571428573,0.0,71.66666666666667,10.285714285714286
2016,6,18,658,339,0.6047127627071422,0.0,5.0,0.0,21.65,0.0,63.45,8.9
2016,6,19,513,310,0.6009917152749773,0.0,6.0,0.0,22.473684210526315,0.0,69.0,10.157894736842104
2016,6,20,431,349,0.7902302697134606,0.0,0.0,1.0,23.3,0.02,73.35,11.9
2016,6,21,423,365,0.7901584515729222,0.0,1.0,1.0,23.5,0.4681818181818182,64.04545454545455,10.818181818181818
2016,6,22,413,356,0.8594311322545852,0.0,2.0,1.0,22.80952380952381,0.06190476190476191,57.0,10.904761904761905
2016,6,23,364,327,0.8884765139211036,0.0,3.0,1.0,23.142857142857142,0.023809523809523808,70.80952380952381,4.333333333333333
2016,6,24,439,352,0.8357001343131022,0.0,4.0,1.0,21.636363636363637,0.0,72.22727272727273,12.318181818181818
2016,6,25,415,287,0.7501415179855169,0.0,5.0,0.0,22.09090909090909,0.0,67.5909090909091,9.772727272727273
2016,6,26,383,235,0.6847545442441353,0.0,6.0,0.0,23.38888888888889,0.0,63.333333333333336,12.333333333333334
2016,6,27,404,330,0.8194633806598584,0.0,0.0,1.0,22.789473684210527,0.13157894736842105,75.89473684210526,17.894736842105264
2016,6,28,306,283,0.9276643538011063,0.0,1.0,1.0,22.473684210526315,0.4842105263157894,89.36842105263158,11.736842105263158
2016,6,29,362,323,0.909148754748368,0.0,2.0,1.0,23.227272727272727,0.06818181818181818,72.13636363636364,8.409090909090908
2016,6,30,370,299,0.8041198211753962,0.0,3.0,1.0,23.85,0.0,64.45,9.5
2016,7,1,233,181,0.8407810982020468,0.0,4.0,1.0,23.045454545454547,0.6590909090909091,79.36363636363636,12.272727272727273
2016,7,2,382,217,0.5938278518753765,0.0,5.0,0.0,21.473684210526315,0.0,59.36842105263158,17.68421052631579
2016,7,3,345,174,0.536550551829138,0.0,6.0,0.0,22.333333333333332,0.0,60.19047619047619,11.380952380952381
2016,7,4,395,224,0.6803724154514248,0.0,0.0,1.0,23.6,0.195,69.2,13.55
2016,7,5,350,286,0.8341689892857245,0.0,1.0,1.0,25.333333333333332,0.8809523809523809,76.61904761904762,9.80952380952381
2016,7,6,397,306,0.7923256718771425,0.0,2.0,1.0,27.35,0.015000000000000003,68.85,8.8
