year,month,day,count
2016.0,4.0,28.0,410
2016.0,4.0,29.0,293
2016.0,4.0,30.0,438
2016.0,5.0,1.0,414
2016.0,5.0,2.0,317
2016.0,5.0,3.0,331
2016.0,5.0,4.0,334
2016.0,5.0,5.0,455
2016.0,5.0,6.0,358
2016.0,5.0,7.0,480
2016.0,5.0,8.0,292
2016.0,5.0,9.0,221
2016.0,5.0,10.0,339
2016.0,5.0,11.0,233
2016.0,5.0,12.0,183
2016.0,5.0,13.0,261
2016.0,5.0,14.0,200
2016.0,5.0,15.0,204
2016.0,5.0,16.0,146
2016.0,5.0,17.0,188
2016.0,5.0,18.0,148
2016.0,5.0,19.0,187
2016.0,5.0,20.0,268
2016.0,5.0,21.0,408
2016.0,5.0,22.0,278
2016.0,5.0,23.0,380
2016.0,5.0,24.0,298
2016.0,5.0,25.0,491
2016.0,5.0,26.0,352
2016.0,5.0,27.0,416
2016.0,5.0,28.0,262
2016.0,5.0,29.0,119
2016.0,5.0,30.0,300
2016.0,5.0,31.0,239
2016.0,6.0,1.0,359
2016.0,6.0,2.0,390
2016.0,6.0,3.0,523
2016.0,6.0,4.0,266
2016.0,6.0,5.0,460
2016.0,6.0,6.0,289
2016.0,6.0,7.0,337
2016.0,6.0,8.0,363
2016.0,6.0,9.0,369
2016.0,6.0,10.0,488
2016.0,6.0,11.0,436
2016.0,6.0,12.0,452
2016.0,6.0,13.0,377
2016.0,6.0,14.0,422
2016.0,6.0,15.0,448
2016.0,6.0,16.0,426
2016.0,6.0,17.0,282
2016.0,6.0,18.0,493
2016.0,6.0,19.0,215
2016.0,6.0,20.0,438
2016.0,6.0,21.0,406
2016.0,6.0,22.0,284
2016.0,6.0,23.0,378
2016.0,6.0,24.0,509
2016.0,6.0,25.0,521
2016.0,6.0,26.0,385
2016.0,6.0,27.0,351
2016.0,6.0,28.0,406
2016.0,6.0,29.0,451
2016.0,6.0,30.0,340
2016.0,7.0,1.0,429
2016.0,7.0,2.0,649
2016.0,7.0,3.0,593
2016.0,7.0,4.0,392
2016.0,7.0,5.0,429
2016.0,7.0,6.0,395
2016.0,7.0,7.0,348
2016.0,7.0,8.0,437
2016.0,7.0,9.0,431
2016.0,7.0,10.0,389
2016.0,7.0,11.0,474
2016.0,7.0,12.0,346
2016.0,7.0,13.0,364
2016.0,7.0,14.0,407
2016.0,7.0,15.0,323
2016.0,7.0,16.0,322
2016.0,7.0,17.0,405
2016.0,7.0,18.0,377
2016.0,7.0,19.0,431
2016.0,7.0,20.0,379
2016.0,7.0,21.0,405
2016.0,7.0,22.0,387
2016.0,7.0,23.0,440
2016.0,7.0,24.0,415
2016.0,7.0,25.0,485
2016.0,7.0,26.0,379
2016.0,7.0,27.0,359
2016.0,7.0,28.0,407
2016.0,7.0,29.0,269
2016.0,7.0,30.0,423
2016.0,7.0,31.0,315
2016.0,8.0,1.0,339
2016.0,8.0,2.0,506
2016.0,8.0,3.0,427
2016.0,8.0,4.0,415
2016.0,8.0,5.0,362
2016.0,8.0,6.0,365
2016.0,8.0,7.0,267
2016.0,8.0,8.0,411
2016.0,8.0,9.0,422
2016.0,8.0,10.0,294
2016.0,8.0,11.0,264
2016.0,8.0,12.0,333
2016.0,8.0,13.0,220
2016.0,8.0,14.0,319
2016.0,8.0,15.0,375
2016.0,8.0,16.0,510
2016.0,8.0,17.0,422
2016.0,8.0,18.0,469
2016.0,8.0,19.0,435
2016.0,8.0,20.0,340
2016.0,8.0,21.0,353
2016.0,8.0,22.0,442
2016.0,8.0,23.0,428
2016.0,8.0,24.0,368
2016.0,8.0,25.0,304
2016.0,8.0,26.0,277
2016.0,8.0,27.0,341
2016.0,8.0,28.0,313
2016.0,8.0,29.0,336
2016.0,8.0,30.0,373
2016.0,8.0,31.0,449
2016.0,9.0,1.0,390
2016.0,9.0,2.0,379
2016.0,9.0,3.0,380
2016.0,9.0,4.0,340
2016.0,9.0,5.0,407
2016.0,9.0,6.0,507
2016.0,9.0,7.0,452
2016.0,9.0,8.0,387
2016.0,9.0,9.0,471
2016.0,9.0,10.0,450
2016.0,9.0,11.0,486
2016.0,9.0,12.0,482
2016.0,9.0,13.0,513
2016.0,9.0,14.0,361
2016.0,9.0,15.0,308
2016.0,9.0,16.0,443
2016.0,9.0,17.0,525
2016.0,9.0,18.0,579
2016.0,9.0,19.0,508
2016.0,9.0,20.0,429
2016.0,9.0,21.0,522
2016.0,9.0,22.0,412
2016.0,9.0,23.0,285
2016.0,9.0,24.0,419
2016.0,9.0,25.0,572
2016.0,9.0,26.0,560
2016.0,9.0,27.0,500
2016.0,9.0,28.0,418
2016.0,9.0,29.0,481
