year,sub,holidays,workday,tempC,precipMM,humidity,windspeedKmph,weekday,hour,weatherDesc2,month,predict,count,differenz_prozent
2015,rate,0,1,0,0.0,69,25,4,8,Sunny,1,,,
2015,rate,0,1,1,0.0,64,29,4,9,Sunny,1,,,
2015,rate,0,1,2,0.0,59,28,4,10,Sunny,1,,,
2015,rate,0,1,5,0.0,51,27,4,12,Partly cloudy,1,,,
2015,rate,0,1,4,0.0,52,30,4,13,Partly cloudy,1,,,
2015,rate,0,1,3,0.0,54,33,4,14,Patchy light snow,1,,,
2015,rate,0,1,2,0.0,55,36,4,15,Patchy light snow,1,,,
2015,rate,0,1,0,0.0,55,35,4,16,Patchy light snow,1,,,
2015,rate,0,1,-2,0.0,54,34,4,17,Sunny,1,,,
2015,rate,0,1,-3,0.0,54,33,4,18,Clear,1,,,
2015,rate,0,1,-4,0.0,53,33,4,19,Clear,1,,,
2015,rate,0,1,-5,0.0,52,33,4,20,Clear,1,,,
2015,rate,0,1,-6,0.0,52,30,4,22,Clear,1,,,
2015,rate,0,0,-7,0.0,44,13,5,9,Sunny,1,,,
2015,rate,0,0,-5,0.0,39,10,5,10,Sunny,1,,,
2015,rate,0,0,-4,0.0,33,8,5,11,Sunny,1,,,
2015,rate,0,0,-2,0.0,28,6,5,12,Sunny,1,,,
2015,rate,0,0,-2,0.0,31,9,5,13,Sunny,1,,,
2015,rate,0,0,-2,0.0,34,12,5,14,Sunny,1,,,
2015,rate,0,0,-2,0.0,37,15,5,15,Sunny,1,,,
2015,rate,0,0,-2,0.0,42,15,5,16,Sunny,1,,,
2015,rate,0,0,-2,0.0,46,15,5,17,Sunny,1,,,
2015,rate,0,0,-2,0.0,51,14,5,18,Clear,1,,,
2015,rate,0,0,4,3.6,99,8,6,15,Heavy rain,1,,,
2015,rate,0,0,3,0.0,92,19,6,20,Cloudy,1,,,
2015,rate,1,0,1,0.0,79,25,0,7,Sunny,1,,,
2015,rate,1,0,2,0.0,75,27,0,8,Patchy light snow,1,,,
2015,rate,1,0,3,0.0,72,30,0,9,Patchy light snow,1,,,
2015,rate,1,0,3,0.0,69,28,0,10,Patchy light snow,1,,,
2015,rate,1,0,4,0.0,67,26,0,11,Overcast,1,,,
2015,rate,1,0,4,0.0,64,24,0,12,Overcast,1,,,
2015,rate,1,0,4,0.0,66,24,0,13,Overcast,1,,,
2015,rate,1,0,4,0.0,67,24,0,14,Partly cloudy,1,,,
2015,rate,1,0,4,0.0,69,23,0,15,Partly cloudy,1,,,
2015,rate,1,0,3,0.0,73,21,0,16,Partly cloudy,1,,,
2015,rate,1,0,2,0.0,76,19,0,17,Partly cloudy,1,,,
2015,rate,1,0,2,0.0,80,17,0,18,Partly cloudy,1,,,
2015,rate,1,0,1,0.0,80,17,0,19,Partly cloudy,1,,,
2015,rate,1,0,1,0.0,81,17,0,20,Clear,1,,,
2015,rate,1,0,1,0.0,81,18,0,21,Clear,1,,,
2015,rate,0,1,0,0.0,71,13,1,7,Sunny,1,,,
2015,rate,0,1,1,0.0,66,14,1,8,Sunny,1,,,
2015,rate,0,1,2,0.0,62,15,1,9,Sunny,1,,,
2015,rate,0,1,2,0.0,60,15,1,10,Sunny,1,,,
2015,rate,0,1,3,0.0,59,16,1,11,Partly cloudy,1,,,
2015,rate,0,1,4,0.0,58,16,1,12,Partly cloudy,1,,,
2015,rate,0,1,4,0.0,60,16,1,13,Partly cloudy,1,,,
2015,rate,0,1,4,0.0,62,16,1,14,Patchy light snow,1,,,
2015,rate,0,1,3,0.0,64,15,1,15,Patchy light snow,1,,,
2015,rate,0,1,2,0.0,66,14,1,16,Patchy light snow,1,,,
2015,rate,0,1,1,0.0,67,13,1,17,Patchy moderate snow,1,,,
2015,rate,0,1,0,0.0,68,12,1,18,Patchy moderate snow,1,,,
2015,rate,0,1,0,0.0,68,14,1,19,Patchy moderate snow,1,,,
2015,rate,0,1,0,0.0,67,16,1,20,Clear,1,,,
2015,rate,0,1,-1,0.0,66,17,1,21,Clear,1,,,
2015,rate,0,1,-1,0.0,65,13,2,1,Clear,1,,,
2015,rate,0,1,-2,0.0,51,11,2,7,Sunny,1,,,
2015,rate,0,1,-2,0.0,45,11,2,8,Cloudy,1,,,
